,Username,Tweet,Date,Number of Retweets,Number of Likes,Number of Followers
0,MuseumModernArt,"For Alzheimer’s and Brain Awareness Month, @MoMAlearning has put together ideas and prompts for caregivers to promote communication and wellness through art. In English and Spanish! https://t.co/szkKwEv6g1 https://t.co/khHreFbcXT",2020-06-25 20:38:02,16,87,5357233
1,MuseumModernArt,"Tonight's the night! At 8 p.m. EDT, we're hosting the online premiere of @tourmaliiine's Salacia. The artist’s film, new to our collection, reimagines the life of Mary Jones. https://t.co/9Ea7S3F91o https://t.co/bZLSusNNIm",2020-06-25 15:36:05,29,56,5357233
2,MuseumModernArt,"Through interviews with members of two women's tackle football teams, Sharon Hayes’s Artist Project conveys pressing issues of gender and equity that inform both football and life beyond the field. https://t.co/J8r0TXHqTp https://t.co/wKWHowhlQa",2020-06-24 22:00:29,3,31,5357233
3,MuseumModernArt,"In the first edition of Performing at a Distance, our new artist project series that unfolds with one letter a week, Steffani Jemison reflects on Lorraine Hansberry’s, What Use Are Flowers?, which imagines the world after the end of the world. https://t.co/24BlA4Ss1D https://t.co/7ejsRzxQPB",2020-06-23 22:20:02,21,88,5357233
4,MuseumModernArt,"“Mundane, odd, incredibly out of place. But there is such beauty (dare I say, elevated to actual art!) and that’s a good way to look at the mundanity of every day in this pandemic.” — Jen Forcino

More #MoMAPicks: https://t.co/9ro9NjZPss

👞 Robert Gober, Untitled Leg https://t.co/MLJFjPKrTP",2020-06-23 15:44:02,28,178,5357233
5,MuseumModernArt,@tourmaliiine 🥰 We can't wait for the premiere on Thursday!,2020-06-22 20:19:27,1,21,5357233
6,MuseumModernArt,@tourmaliiine Can't wait! https://t.co/SOUQp0CVm3,2020-06-22 20:12:39,0,0,5357233
7,MuseumModernArt,@nuts2soup @tourmaliiine No tickets required! Check back here on Thursday AM for a link to the screening and more info. All are welcome :),2020-06-22 20:10:55,5,49,5357233
8,MuseumModernArt,"Thursday at 8pm, join us for the online premiere of @tourmaliiine’s Salacia. The film, starring Rowin Amone, and produced by Keanu Reeves, offers a speculative vision of Mary Jones, a Black trans woman and sex worker who lived in SoHo in the 1830s.

📸 Matt Harvey https://t.co/v4Z1isbVik",2020-06-22 19:45:05,349,1131,5357233
9,MuseumModernArt,"Since Gilbert Baker first unfurled the Rainbow Flag at the San Francisco Gay and Lesbian Freedom Day Parade in 1978, his iconic design has stood as a powerful symbol of #Pride — acceptance, community, diversity, and, above all, love.

Learn more: https://t.co/wCUFmc0whG https://t.co/G63bkhDqcz",2020-06-22 18:55:02,30,158,5357233
10,MuseumModernArt,"Happy Father's Day! What did your dad teach you? 

📸  William Eggleston, ""Memphis,"" c. 1969 https://t.co/356rdj4uGE https://t.co/bJpOjxU9Wo",2020-06-21 14:30:08,32,178,5357233
11,MuseumModernArt,Let's take art history apart and reimagine it. https://t.co/uCrZMcGXon,2020-06-21 00:33:00,24,105,5357233
12,MuseumModernArt,"“This map of American violence is incomplete. Please write in whatever you find lacking.”

Across “United States of Attica,” Faith Ringgold recorded scores of violent, often racist, atrocities, inviting viewers to fill in the gaps. https://t.co/lCMGykzHQ3
#MoMAVirtualViews https://t.co/5dVdwSv39G",2020-06-20 18:54:03,44,123,5357233
13,MuseumModernArt,"On the 20th anniversary of #WorldRefugeeDay, Yara Said reflects on designing the Refugee Flag. The artist found inspiration in orange life vests and her personal experience of crossing the sea from Turkey to Greece. https://t.co/NDaCUp71Uk https://t.co/Yl1xWULWCp",2020-06-20 14:32:01,34,84,5357233
14,MuseumModernArt,"In addition to making art, Faith Ringgold is the author and illustrator of many children’s books. Watch Ringgold read her book, Tar Beach, with your family. Then make your own art inspired by her work and ideas: https://t.co/9MvwMbPgrC https://t.co/1FLNbtD3Yu",2020-06-20 00:25:01,36,170,5357233
15,MuseumModernArt,"These four tintypes were produced in a studio (note the painted backdrops and props), which helped the sitters stay still so the image wouldn’t be blurred.
📷 https://t.co/HcXa33bG0Y https://t.co/6uAxJhfIev",2020-06-19 15:35:44,6,42,5357233
16,MuseumModernArt,"The tintype—actually a thin sheet of iron, not tin—was a popular new process: quick, inexpensive, and durable. You could even carry one in your pocket.
📷 https://t.co/KtViIAez3X https://t.co/EWdSMVG60f",2020-06-19 15:35:44,8,49,5357233
17,MuseumModernArt,"Having a portrait taken is an act of self-representation, an act made easier by the increasing democracy of photography itself in the years after June 19, 1865, when news reached the last enslaved people in Galveston, Texas, that they were free.
📷 https://t.co/eiI6pc3tpy https://t.co/QM5Q59ERn8",2020-06-19 15:35:43,4,23,5357233
18,MuseumModernArt,"Celebrate #JUNETEENTH2020 by looking back at some of the faces of emancipated Black citizens seen in photographs from the 1870s. [THREAD]
📷 https://t.co/hXwbAEGuq1 https://t.co/IQLQn5M3AA",2020-06-19 15:35:42,60,179,5357233
19,MuseumModernArt,"“The first time I saw it, it flattened me with its truthfulness and honesty and also for how much love was needed to endure its making.” Read Crystal Williams's poem inspired by Faith Ringgold's ""Die"": https://t.co/VGpJ1YgqJC https://t.co/MGHlrSOGtu",2020-06-18 22:00:01,48,172,5357233
20,MuseumModernArt,"For more than 50 years, Faith Ringgold has grappled with issues of race, identity, and violence in her artwork as well as her activism.

Join Ringgold and curator Anne Umland tonight at 8 p.m. EDT for a live Q&amp;A to launch our #MoMAVirtualViews: https://t.co/lCMGykzHQ3 https://t.co/KBHrnM5rOS",2020-06-18 15:57:11,58,129,5357233
21,MuseumModernArt,"The Propellor Group's “The Living Need Light, The Dead Need Music” connects mourning rituals in New Orleans and Saigon. “Across time and place, public grief is a common need,"" curator Thomas Lax reflects. Stream the film: https://t.co/STXtgdRZ9H https://t.co/FoLdWXrGau",2020-06-17 21:32:04,15,103,5357233
22,MuseumModernArt,"""I’m not done yet. I’ve got so much more to do.”

Faith Ringgold spoke with @nytimesarts about finding creative inspiration in the recent protests: https://t.co/xAe46TZZGa

This Thursday, join the artist and curator Anne Umland live for #MoMAVirtualViews: https://t.co/tAo6nT4AsQ https://t.co/P4FMqbaEtf",2020-06-15 15:35:00,48,215,5357233
23,MuseumModernArt,"In the late 1970s, Pope.L began a set of street performances—which he called crawls—using his body to pose questions about division and inequality on the streets and stages of NYC. Discover the artist's landmark performances: https://t.co/c9MO5dgcvV https://t.co/yjnkCjoPMO",2020-06-12 15:14:30,35,100,5357233
24,MuseumModernArt,Join us tonight for the online premiere of Herbert Danska’s Right On!—a powerful document of radical black politics in 1960s America—with a special introduction from Felipe Luciano of the original Last Poets. https://t.co/elwlcEMF44 https://t.co/61LNNVCHLS,2020-06-11 21:08:35,104,275,5357233
25,MuseumModernArt,"“The way that history is represented and told is never neutral.” Leah Dickerman reflects on protesters' calls to remove Confederate monuments “as a response to flesh-and-blood outrage over Black lives lost and disregarded.” https://t.co/6FOJx5uohf

Projection/Photo: Dustin Klein https://t.co/a6GDfW2tpS",2020-06-10 21:15:04,31,75,5357233
26,MuseumModernArt,"Song Dong's 1996 performance “Breathing” took place in two charged public spaces in Beijing—and speaks to the way that art is intertwined with living, resistance as well as futility. Explore defiant works made in the wake of the Tiananmen Square protests: https://t.co/BnfWQ36Fpv https://t.co/L0L3Licmmh",2020-06-09 22:11:02,36,130,5357233
27,MuseumModernArt,"We’re ending the day with Alma Woodsey Thomas’s “Fiery Sunset.” The artist's radiantly colorful paintings were inspired by nature, and pushed to the edge of abstraction. Dark strokes are concentrated at the top left of the canvas, suggesting the gradual victory of night over day. https://t.co/kFKXWxL5hA",2020-06-05 21:47:02,67,220,5357233
28,MuseumModernArt,"To offer a space for reflection, join us at 8pm tonight for a special showing of Arthur Jafa’s ""akingdoncomethas."" The video posits the possibility of life after catastrophe, and offers an opportunity to come together in ritual and action https://t.co/J7nA7Thpcq https://t.co/14nQHinnVv",2020-06-04 20:47:36,9,42,5357233
29,MuseumModernArt,There are so many ways to join the fight for justice and equality. Explore our ongoing list and share your resources in the comments below to help us add to it. https://t.co/e1UJoOLlfL https://t.co/uVJU9EtWqB,2020-06-04 14:05:03,57,113,5357233
30,MuseumModernArt,"We grieve with the families of George Floyd, Breonna Taylor, Ahmaud Arbery, David McAtee and Tony McDade—and with so many others in America's black communities—who have suffered appalling losses and live in fear because of racism, abuse, violence and injustice. #BlackLivesMatter https://t.co/5OvKD222mj",2020-06-02 03:52:35,83,329,5357233
31,MuseumModernArt,"At this time of intolerable tragedy and violence, we must all unite in rejecting racism and injustice and commit to building a future of safety, peace, and equity for all. https://t.co/KzJhZNFuog",2020-06-01 21:51:25,20,72,5357233
32,MuseumModernArt,The “body print” speaks to what Hammons described as his “moral obligation as a black artist to try to graphically document what I feel socially.” https://t.co/VKG4czLuqM,2020-06-01 21:51:24,13,59,5357233
33,MuseumModernArt,"An image of the artist David Hammons draped in the American flag, his hands joined in prayer, “Pray for America” was created during a time of nationwide protests, race riots, and anti-war demonstrations. https://t.co/f6LL0qCy6m",2020-06-01 21:51:24,60,177,5357233
34,MuseumModernArt,"From the 1950s on, the language of abstraction became synonymous with modernity in South America. Artists aimed to reinvent art and society, their efforts reverberating across architecture, design, landscape design. Explore the #MoMAVirtualViews: https://t.co/hSpnFm1fVN https://t.co/KTu3I8IQTf",2020-05-29 19:01:27,91,250,5357233
