,Username,Tweet,Date,Number of Retweets,Number of Likes,Number of Followers
0,mfaboston,"This rare woodblock print, ""Horikiri Iris Garden"" by 19th-century artist #UtagawaHiroshige, centers on different varieties of elegant Japanese irises in vibrant colors. Visit our website to learn more from curator Anne Nishimura Morse: https://t.co/vBaTRAvYOv https://t.co/FAjv3quBKZ",2020-06-25 21:38:54,21,64,403004
1,mfaboston,"In this still life recently acquired by the MFA, Jas Knight (@jasnyt) assembles historical objects from various cultures in Central and West Africa. The painting pays homage to the first democratically elected Prime Minister of the Democratic Republic of Congo, Patrice Lumumba. https://t.co/MnwZmXQEdn",2020-06-24 23:00:03,4,18,403004
2,mfaboston,"Filmed by @beyondMEASUREtv, ""Co-Sign"" captures insights from artists Rob ""Problak"" Gibbs and Rob Stull as they embark on a multipart residency at the MFA, in conjunction with our ""Writing the Future"" exhibition. Watch the full documentary online: https://t.co/Ha3FIFA9BR https://t.co/EwDUsdJfV3",2020-06-24 12:00:39,5,16,403004
3,mfaboston,"As realistically inviting as this arrangement appears, with details like insect-chewed holes on the leaves at bottom, what we see is a product of the artist's imagination. Learn more about Jan van Huysum's ""Vase of Flowers in a Niche"" (about 1715): https://t.co/xV3zQaGAhK https://t.co/uNN9wBvY5C",2020-06-23 17:07:28,19,50,403004
4,mfaboston,"""#LoïsMailouJones was a highly influential instructor at @HowardU, dedicating her career to creating dignified representations of people from across the African diaspora and encouraging the work of young artists.""⁣ —Layla Bermeo, Servison Associate Curator of Paintings https://t.co/jbeemPppEP",2020-06-23 00:00:01,10,37,403004
5,mfaboston,"We're excited to announce the launch of a multipart community mural project led by artists-in-residence Rob ""Problak"" Gibbs and Rob Stull! A key initiative of #mfa150, the project draws inspiration from our ""Writing the Future"" exhibition: https://t.co/LF9K7iNChP https://t.co/1va4j0e0Jg",2020-06-22 13:00:05,7,41,403004
6,mfaboston,"""We will always be connected—by genetics, love and the earth we traverse."" Following his father's passing from COVID-19 in April, photographer David Hilliard reflects on this work from the MFA's collection and their special relationship: https://t.co/NhSyNVUyfp https://t.co/1umGpwYKNx",2020-06-21 13:00:06,3,23,403004
7,mfaboston,"Thanks for tuning into the eighth annual Juneteenth community celebration with the MFA! It was an honor to hold space and hear from the Black creatives, scholars and artists who contribute their many talents to the City of Boston. #mfaJuneteenth

https://t.co/H0B2WAHhk5 https://t.co/h94r1nhIgi",2020-06-19 23:03:25,5,6,403004
8,mfaboston,"@BAMSFest curated the last two musical performances of the evening. It's an honor to have @deboraymusic and DJ @wheresnasty to close out #mfaJuneteenth. 

Tune in now!

https://t.co/H0B2WAHhk5 https://t.co/TLmaVuN8Ta",2020-06-19 21:59:45,3,10,403004
9,mfaboston,"We’re now handing it over to members of our Teen Arts Council and Curatorial Study Hall, who have prepared recitations of speeches, poems and song lyrics. #mfaJuneteenth 

https://t.co/H0B2WAHhk5",2020-06-19 21:43:59,1,5,403004
10,mfaboston,"Now we're hearing from Roberto Lugo (@AGhettoPotter) about his work titled “Law and Order: The Reincarnation of Frederick Douglass."" He's in conversation with contemporary curator Michelle Millar Fisher. #mfaJuneteenth

Tune in here: 
https://t.co/H0B2WAHhk5 https://t.co/XRiQrAHNzV",2020-06-19 21:21:32,1,8,403004
11,mfaboston,"Art and educator @ChanelThervil is leading our Juneteenth art-making activity! We’re making joy capsules inspired by Roberto Lugo’s “Law and Order: The Reincarnation of Frederick Douglass,” a work from the MFA’s collection. Download Chanel’s template here: https://t.co/Peis8iktyc https://t.co/Gjrohjz2kU",2020-06-19 21:12:36,2,13,403004
12,mfaboston,"We're hearing from Roxbury artist Ekua Holmes (@imaroxburygirl), who is reading ""Black is a Rainbow Color,"" by Angela Joy. #mfaJuneteenth

https://t.co/H0B2WAHhk5 https://t.co/nsdP7ZxKvR",2020-06-19 21:06:41,2,11,403004
13,mfaboston,"The 8th annual MFA Juneteenth community celebration has begun! Tune in as we start with a City Talks panel discussion led by @MakeebaMcCreary, with Heather White of @trillfitboston, @Adrian_Walker &amp; @ProblaK #mfaJuneteenth 

https://t.co/H0B2WAHhk5",2020-06-19 20:03:02,13,22,403004
14,mfaboston,"We're honored to have artist #RobertoLugo join us for our #Juneteenth commemoration, to discuss his work ""Law and Order: The Reincarnation of Frederick Douglass"" from the MFA's collection. See the full lineup for the event, streaming at 4 pm: https://t.co/u4p5Z1R92w https://t.co/oX49gphCiO",2020-06-19 17:00:01,14,20,403004
15,mfaboston,"""My creative practice has always been a healing space throughout my life. I use my art to cope, to manifest and to grieve."" —⁣⁣⁣Jhona Xaviera
⁣⁣⁣
🎨: ""gemelas del sol"" (2019). Made in collaboration with Perla Mabel and Liz Maelene. Image courtesy of the artist.⁣ https://t.co/OSRkYMHe9K",2020-06-19 13:00:06,7,24,403004
