,Username,Tweet,Date,Number of Retweets,Number of Likes,Number of Followers
0,TheBroad,"Through live installations, brand development, artist management, and creative strategy, Trap Heals build alliances with brands, non-profits, and movements who honor the same codes. Their true mission is to make moves in silence that create echoing impact. (3/3)",2020-06-25 01:00:45,0,0,36392
1,TheBroad,Trap Heals is a collective of artists and strategists who hand-deliver initiatives and activations dedicated to philanthropic equity. (2/3),2020-06-25 01:00:45,0,0,36392
2,TheBroad,"In this first video of a series by Trap Heals, listen to @Katarra_music's lead single ""Phoenix Rising"" as her voice soars alongside works by artist Christopher Wool. (1/3) https://t.co/aFX211dwkT",2020-06-25 01:00:44,0,3,36392
3,TheBroad,"For #PrideMonth, we’re celebrating the role of LGBTQ+ artists in shaping art history w/ artists like Lari Pittman, a gay, Colombian-American artist whose work isn't easily broken into typical binaries. This work shows an event in full swing w/ androgynous thong-wearing revelers. https://t.co/NlOoYEr8ab",2020-06-24 18:03:03,0,3,36392
4,TheBroad,.@OsopePatrisse: Art is how we get to the places that we want to get to....We cannot forget that the work that we do as artists has to be deeply aligned with the movements that are calling for artists to be some of the visionaries in this process. https://t.co/vF0VYoZAye,2020-06-23 20:30:06,1,7,36392
5,TheBroad,It’s our hope these young people will carry this inspiration into all aspects of their lives as they become adults and create a new America—and that they will continue to look to the arts for inspiration. (4/4),2020-06-23 18:51:26,0,1,36392
6,TheBroad,Prompts guide the students to consider issues addressed in artworks and then to voice their thoughts and feelings through prose. (3/4),2020-06-23 18:51:26,0,2,36392
7,TheBroad,Each year Art+Rhyme creates a space that empowers thousands of students to express their stories and opinions in order to reflect on contemporary political and social changes. (2/4) https://t.co/GI51ISjTIS,2020-06-23 18:51:25,0,1,36392
8,TheBroad,"For the last 5 years, The Broad has partnered with @826LA to foster the voices and creativity of high school students through poetry. (1/4) https://t.co/kQ2lrTfbhK",2020-06-23 18:51:25,5,4,36392
9,TheBroad,"Last October, @SussanDeyhim performed live music excerpts from Shirin Neshat’s films. Watch the full in-depth conversation featuring Neshat and her other collaborators, Shoja Azari and Ghasem Ebrahimian. → https://t.co/CgtEndRmPa #TheBroadFromHome https://t.co/z0HOAcLt7q",2020-06-22 16:00:58,1,2,36392
10,TheBroad,We stand with the Black community and all those who are demanding an end to racial violence and police brutality that has senselessly extinguished too many Black lives. https://t.co/yuzQ2bYsml,2020-06-04 21:54:45,3,17,36392
11,TheBroad,Follow Patrisse and her colleagues at @osopepatrisse @mvmnt4blklives. #amplifyblackvoices #supportblackleaders (8/8),2020-06-03 22:46:40,0,1,36392
12,TheBroad,"Filmed at The Broad on February 5, 2020, 𝙋𝙧𝙖𝙮𝙚𝙧 𝙩𝙤 𝙩𝙝𝙚 𝙄𝙮𝙖𝙢𝙞 touches on themes including resistance, healing, metaphor and mysticism found in The Broad’s special exhibition, Shirin Neshat: I Will Greet the Sun Again (October 19, 2019 - February 9, 2020). (7/8)",2020-06-03 22:46:40,0,1,36392
13,TheBroad,"Wings made from her brother Monte’s used clothes are a symbol of the artist’s 20-year fight to keep her sibling free from incarceration and abuse. Bearing the weight of the wings, Cullors leads witnesses to an 8-foot nest which she adorns with Monte’s clothing. (6/8)",2020-06-03 22:46:39,0,1,36392
