,Username,Tweet,Date,Number of Retweets,Number of Likes,Number of Followers
0,ClevelandArt,"The CMA opens on June 30 and we’re excited to welcome you back! Reserve your free entry tickets NOW to be among the first to check out the transformative Keithley gift in person. https://t.co/UtHo0PDUAE ✨ 

https://t.co/4CXJZrCod3",2020-06-25 18:06:01,5,4,52814
1,ClevelandArt,"✨ We open on June 30 and we’re excited to welcome you back! Reserve your free entry tickets NOW. You can reserve your tickets by visiting https://t.co/UtHo0PDUAE, or by calling the ticket center at 216-421-7350. https://t.co/Fikl0nHgIZ",2020-06-24 20:07:20,6,10,52814
2,ClevelandArt,"We open on June 30! Reserve your free entry tickets NOW. You can reserve your tickets by visiting https://t.co/UtHo0PVvsc, or by calling the ticket center at 216-421-7350. To plan your visit, go to https://t.co/UtHo0PVvsc. https://t.co/jNf3v4I5Yq",2020-06-22 14:00:32,9,35,52814
3,ClevelandArt,"We open on June 30! Reserve your free entry tickets beginning tomorrow. You can reserve your tickets by visiting https://t.co/UtHo0PDUAE, or by calling the ticket center at 216-421-7350. To plan your visit, go to https://t.co/UtHo0PDUAE. https://t.co/15xW0xsrDW",2020-06-21 23:00:09,7,19,52814
4,ClevelandArt,"🎉 Calling all CMA members – reserve your FREE entry tickets NOW! Visit https://t.co/UtHo0PDUAE, or call the ticket center at 216-421-7350.  We're excited to welcome you back beginning June 30! https://t.co/oUEPTWkHlM",2020-06-18 14:00:34,2,7,52814
5,ClevelandArt,"Calling all CMA members – reserve your FREE tickets beginning TOMORROW, 6/18!  Please see https://t.co/UtHo0PDUAE for more details. We're excited to welcome you back! https://t.co/u5XakXcEHL",2020-06-17 18:43:42,6,11,52814
6,ClevelandArt,"We had to cancel Parade the Circle this year due to COVID-19, but here's how to create your own art-filled version at home. Join us tomorrow, as we post in celebration of Parade on Facebook &amp; Instagram. Share your own Parade memories via #ParadetheCircle. https://t.co/8y6SKVxdZd",2020-06-12 18:00:27,3,3,52814
7,ClevelandArt,"We look forward to welcoming visitors back beginning June 30 with new safety measures and free, reservation-only timed tickets. For those who wish to visit the museum virtually, we will continue to develop &amp; share high-level, digital-engagement offerings. https://t.co/Z9dqOnVfDv https://t.co/cSKaJSDUZj",2020-06-09 17:24:31,13,28,52814
8,ClevelandArt,"@dandashoh Hello! That artwork is ""Rage Against Machine"" by artist Robert A. Pruitt, more info: https://t.co/lXXEbvgIoY",2020-06-08 13:14:13,1,2,52814
9,ClevelandArt,"Museums anchor the places they serve, and we are committed to providing a truly safe space in which all our neighbors may see themselves, heal, and find peace. For more information visit https://t.co/UtHo0PDUAE.",2020-06-05 17:54:50,6,9,52814
10,ClevelandArt,"For those who wish to remain at home and visit the museum virtually, the CMA will continue to develop and share the high-level, digital-engagement offerings for which the CMA is known worldwide.",2020-06-05 17:54:39,6,21,52814
11,ClevelandArt,"The CMA looks forward to welcoming visitors back on June 30 with new safety measures and free, reservation-only timed tickets to ensure reduced capacity and promote social distancing. https://t.co/XTN1WX17Kr",2020-06-05 17:54:22,34,75,52814
12,ClevelandArt,"Museums anchor the places they serve, and we are committed to providing a truly safe space in which all our neighbors may see themselves, heal, and find peace. #blackouttuesday",2020-06-02 18:39:33,0,6,52814
13,ClevelandArt,We are unequivocal in our condemnation of racism and the senseless violence of which the brutal injustice that unfolded last week in Minneapolis is but the most recent example. We at the CMA grieve and stand in solidarity with the entire African American community.,2020-06-02 18:39:20,1,9,52814
14,ClevelandArt,The Cleveland Museum of Art shares the outrage felt all over this country following the horrendous death of George Floyd. The days since he was killed have shaken a society founded on civil discourse and diverse points of view. https://t.co/NYiIPRqw8X,2020-06-02 18:38:51,3,29,52814
15,ClevelandArt,"This week #OnTheBlog, learn about the five big ideas driving the museum’s new educational offerings. 📚 https://t.co/gAFpdiMr4X",2020-05-29 14:38:08,2,1,52814
16,ClevelandArt,"In today’s #MuseumMomentofZen, let’s explore “The Pool” by Cleveland-based artist William Sommer. 🌙

Seeking freedom from convention by immersing himself in nature, Sommer explained, “I believe art should be as spontaneous as the song of a bird.”  https://t.co/wEb4SakdEE https://t.co/JYnqkymKfs",2020-05-28 20:58:00,7,14,52814
17,ClevelandArt,✨ LIVE EVENT at 12pm: Join a curator and artist-educator as they discuss how artists and makers have turned to cultural objects and practices for healing. https://t.co/WfUWwbgfcB https://t.co/Vw6ucrETJ5,2020-05-27 14:00:33,2,2,52814
18,ClevelandArt,"In the museum’s new video series, Behind the Beat, learn more about the musicians that make up the CMA’s Performing Arts Series. In the inaugural episode, go behind the beat with American contemporary classical chamber ensemble the Kronos Quartet. https://t.co/evc3RFEp6A 🎶",2020-05-24 14:00:20,3,6,52814
