,Username,Tweet,Date,Number of Retweets,Number of Likes,Number of Followers
0,DIADetroit,Visit https://t.co/dXemOObOG1 to learn more.,2020-06-24 21:40:32,4,7,176015
1,DIADetroit,"From now until June 30, the Criterion Channel streaming service has removed the subscription paywall for an extraordinary and wide-ranging collection of films that focus on the dreams, struggles, desires, and art of black characters and real-life subjects.",2020-06-24 21:40:32,6,13,176015
2,DIADetroit,The Detroit Film Theatre is dedicated to sharing black stories and the art of cinema has an important to role to play in centering and celebrating the experiences of black people everywhere.,2020-06-24 21:40:32,1,5,176015
3,DIADetroit,"To submit a proposal, fill out the submission form https://t.co/FIJs2UtuYY (opens in new window) to provide us with the following information, by Monday, July 06, 2020 at 5 p.m.",2020-06-23 21:59:54,0,3,176015
4,DIADetroit,Visit https://t.co/O0ZZ4zZPPb for more information on how you can participate.,2020-06-23 21:59:54,0,5,176015
5,DIADetroit,"In collaboration with the Mexican Consulate of Detroit, we are extending an open call for proposals of ofrenda altars or offerings honoring the life and memory of lost loved ones as part of a celebration of the traditions of Día de Muertos (Day of the Dead). https://t.co/exUSD8Qcwg",2020-06-23 21:59:54,8,26,176015
6,DIADetroit,"🖼 ""Officer of the Hussars"", Kehinde Wiley, oil on canvas, Museum Purchase, Friends of African and African American Art, DIA no. 2008.3.",2020-06-22 20:54:19,0,4,176015
7,DIADetroit,"Wiley's work is found in public and private collections around the world. You can see his painting ""Officer of the Hussars,"" a visitor favorite, at the DIA.",2020-06-22 20:54:19,0,8,176015
8,DIADetroit,"His work challenges the history of Western art, which has largely overlooked or intentionally made invisible black subjects from portraits like this.",2020-06-22 20:54:19,0,4,176015
9,DIADetroit,"Wiley is known for his vibrant, highly naturalistic paintings of contemporary African-American men and women. His subjects are depicted in heroic poses taken from old master paintings whose sitters were typically white men.",2020-06-22 20:54:18,1,4,176015
10,DIADetroit,"In honor of #PrideMonth, we're celebrating the creative contributions of LGBTQIA+ artists in the DIA's collection.
Kehinde Wiley, born in Los Angeles in 1977, is one of the most celebrated painters of his generation. https://t.co/v3RUOKi9Hs",2020-06-22 20:54:17,28,98,176015
11,DIADetroit,"Sawyer's work was featured in ""Detroit Collects: Selections of African American Art from Private Collections"" — view highlights from this exhibition here: https://t.co/v09jtOzoxH",2020-06-20 18:21:06,0,1,176015
12,DIADetroit,"In ""Artist's Black Pietà a Call for Justice"", @GrottoNetwork interviewed Sawyer, as part of their #GrottoStories campaign.",2020-06-20 18:21:05,0,2,176015
