,Username,Tweet,Date,Number of Retweets,Number of Likes,Number of Followers
0,frickcollection,"What works at The Frick Collection inspire you? For many visitors at the Frick, inspiration manifests itself in drawings and doodles of the works in our collection. ✍️  

Continue to enjoy the collection from afar at https://t.co/uNqUMvsx7E. https://t.co/gOfWPNj6wJ",2020-06-25 19:57:09,2,26,116009
1,frickcollection,"Embark on a trip to Valenciennes, France—the birthplace of the Rococo painter Jean-Antoine #Watteau—in a new episode of ""Travels with a Curator."" 
 
Watch now: https://t.co/Jg2GdlSlyQ
—
Jean-Antoine Watteau, The Portal of Valenciennes, ca. 1710−11. Oil on canvas #FrickCollection https://t.co/w7LXPpqIRX",2020-06-24 17:57:36,13,29,116009
2,frickcollection,"Research remotely with the #FrickPhotoarchive, a free digital database, maintained by the #FrickLibrary, that contains over 1.2 million reproductions of works of art for studying. 🎞️  Discover how to use this resource in a recording of our recent webinar:

https://t.co/gyBw5yH7X9",2020-06-24 15:17:51,7,14,116009
3,frickcollection,"This year marks the one-hundredth anniversary of the ratification of the #19thAmendment. 🗳️  The Frick is honoring the anniversary with a series of videos about women who made, appeared in, collected, and took care of art in this collection. #WhatsHerStory
https://t.co/g4xffQDtLa",2020-06-23 17:59:22,3,15,116009
4,frickcollection,"Happy #FathersDay! In this family portrait, Lord and Lady Strange pose with their daughter in a classical triangular arrangement.
—
#AnthonyvanDyck, James Stanley, Lord Strange, Later Seventh Earl of Derby, with His Wife, Charlotte, and Their Daughter, ca. 1636 #FrickCollection https://t.co/IHmWyWFiX3",2020-06-21 15:10:08,8,28,116009
5,frickcollection,"Today marks the first day of #summer! Francois Boucher treats the age-old subject of the seasons with a sensuous charm typical of French rococo style.
—
François Boucher, The Four Seasons: Summer, 1755. Oil on canvas #FrickCollection https://t.co/76LdTodWW5",2020-06-20 15:16:05,20,55,116009
6,frickcollection,"The next episode of Cocktails with a Curator premieres at 5:00 p.m. tonight! Tune in at https://t.co/yHrYlS9VVA.
—
Thomas Gainsborough, Grace Dalrymple Elliott, ca. 1782. Oil on canvas #FrickCollection https://t.co/6W9v7mpLWa",2020-06-19 20:51:03,10,45,116009
7,frickcollection,"Due to their constant use in palaces and mosques for centuries, only about five hundred Mughal carpets survive today. This skillfully woven textile in The #FrickCollection features a seemingly spontaneous pattern of plants. 🌿 
—
Carpet, North Indian, ca. 1650. Silk and pashmina https://t.co/I69PpSnFZi",2020-06-17 21:21:40,14,63,116009
8,frickcollection,"New York-born sculptor and #FrickCollection artist Malvina Hoffman was born #onthisday in 1887. This plaster portrait of Helen Clay Frick by Hoffman was a preparatory work for a marble bust.
—
Malvina Cornell Hoffman, Bust of Helen Clay Frick, 1919. Plaster https://t.co/wBpT8IRXLf",2020-06-14 21:55:08,4,37,116009
9,frickcollection,"Who's not in the picture? In 2019, the Frick hosted a panel examining histories of visibility, representation, and exclusion in Western art. Rewatch the panel discussion now: https://t.co/wag3g0Rkj3 https://t.co/4crrb9Zfrz",2020-06-13 18:32:33,2,10,116009
