,Username,Tweet,Date,Number of Retweets,Number of Likes,Number of Followers
0,GettyMuseum,"How our ancient art conservator experimented with natural dyes to learn more about ancient life from home:

https://t.co/Tt9CNjlHOU",2020-06-25 20:05:36,14,50,1347456
1,GettyMuseum,"@JimpyJimp Gemstones could be held in place by the rim of the bezel or mount, or with an organic adhesive like bitumen or resin, and sometimes both!",2020-06-24 21:12:34,1,1,1347456
2,GettyMuseum,"LISTEN: A conversation with @vhansenyear1000 about the insights into the trade, migrations, and consolidations of power that transformed the premodern world

https://t.co/rp5kbmh6Ut",2020-06-24 20:16:52,9,24,1347456
3,GettyMuseum,Learn how Getty Villa's provenance researchers are tracking down ushabtis to understand their dispersal here: https://t.co/EU8tsDcwEq https://t.co/IPhBWuephP,2020-06-24 16:59:57,8,26,1347456
4,GettyMuseum,"Neferibresaneith's tomb held a total of 336 ushabtis, each inscribed with his name, which are now found in museums and collections all over the world. One of the 336 is located at @metmuseum. https://t.co/G0UGwJB8Bd https://t.co/fS5OOxF7c9",2020-06-24 16:59:06,6,29,1347456
5,GettyMuseum,The Getty Villa’s ancient Egyptian ushabti (funerary figure) was excavated in 1928–29 by archaeologist Cecil Firth from the tomb of a man named Neferibresaneith at Saqqara. https://t.co/MP7IQBUc8y #ConnectingCollections https://t.co/n1eOj9QK7d,2020-06-24 16:57:56,16,75,1347456
6,GettyMuseum,"House, Bel Air, Los Angeles, California, 1972, Julius Shulman. Architect Dean Johnson. The Getty Research Institute

View more from this collection: https://t.co/Fq3QZMURkd https://t.co/8gubHlMaA8",2020-06-23 23:41:14,1,16,1347456
7,GettyMuseum,"Colony Park, Westlake Village, California, 1967, Julius Shulman. Architect Robert Jones. The Getty Research Institute

View more from this collection: https://t.co/vmAyV3TnFh https://t.co/AYI8Swnltp",2020-06-23 23:41:14,2,21,1347456
8,GettyMuseum,"Leisure Village, Camarillo, California, 1978, Julius Shulman. The Getty Research Institute.

View more from this collection: https://t.co/G2wPItZOlc https://t.co/de0QbG32ie",2020-06-23 23:41:13,0,2,1347456
9,GettyMuseum,"Furgatch House, San Diego, California, 1970, Julius Shulman. The Getty Research Institute.

View more from this collection: https://t.co/uJZfJEoDIj https://t.co/DTNBBnKmeV",2020-06-23 23:41:12,0,5,1347456
10,GettyMuseum,"These photographs represent the work of designers, some known and others unknown, as well as incremental alterations by occupants and owners, at the moment of the rise of postmodernism in architecture and design.

More on Julius Shulman's photographs:

https://t.co/BD2bewHAuc",2020-06-23 23:41:11,0,4,1347456
11,GettyMuseum,"These interior designs turned away from the austerity of mid-century modernism and toward a renewed embrace of bold colors, graphic patterns, and excessive ornamentation.

Is this where the trends are heading again?",2020-06-23 23:41:11,0,2,1347456
12,GettyMuseum,"We are living for these retro interiors photographed by Julius Shulman in the late 1960s through the early 1980s. Add these as Zoom backgrounds, pin to your home renovation mood board, or daydream about your toes in that shag carpeting. https://t.co/L9E98iTEpQ",2020-06-23 23:41:10,10,67,1347456
13,GettyMuseum,"Photographs by Julius Shulman capture 1970s domestic aesthetics at the moment of the rise of postmodernism in architecture and design.

https://t.co/BD2bewHAuc",2020-06-23 20:23:26,7,31,1347456
14,GettyMuseum,"Would you wear this?

In ancient Rome, rings depicting gods and goddesses might offer divine protection.

Minerva was particularly popular on rings—she was known as a protectress of heroes and associated with war and wisdom. https://t.co/XIw7QhOZtr https://t.co/0ReRZbWOvF",2020-06-22 17:10:49,70,327,1347456
15,GettyMuseum,We're working on a few conservation stories. What do you want to hear about first?,2020-06-21 19:49:54,5,8,1347456
