,Username,Tweet,Date,Number of Retweets,Number of Likes,Number of Followers
0,artinstitutechi,"Born #OnThisDay—Henry Ossawa Tanner was perhaps the most renowned American painter of religious works in the early 20th century.

Moving to Paris to escape racism at home, Tanner's international reputation was cemented with works like ""The Two Disciples at the Tomb"" (1906). https://t.co/oUeCzEObwu",2020-06-21 19:26:08,13,74,364708
1,artinstitutechi,"For students in the Shelter Workshop at the Institute of Design in Chicago, the concept of shelter was the foundation of a radically new and modern vision for the study and practice of architecture. 

https://t.co/NjrxsenaLI",2020-06-16 19:46:24,6,10,364708
2,artinstitutechi,"In 'Human_3.0 Reading List,' Cauleen Smith offers up a new canon of literature that expands perceptions and inspires conversation about race, gender, and equality. Together they call the viewer to prepare for social change through self-empowered education https://t.co/rjwhzZ11px https://t.co/Yf8OdZB8e0",2020-06-11 16:53:50,9,36,364708
3,artinstitutechi,"President and director James Rondeau shares grief and condemnation for the recent violent loss of black lives.

Read more: https://t.co/HX1w32JM1f https://t.co/tZa9oYWwBk",2020-06-03 21:12:05,13,45,364708
4,artinstitutechi,#blackouttuesday https://t.co/a21xkbISIx,2020-06-02 16:47:28,9,91,364708
5,artinstitutechi,"The museum cannot divorce itself from the struggle. We stand in solidarity with the black community, and we recognize—and are committed to engaging in—the tremendous amount of work to be done to build true equity and fight systemic racism, in both our institution and our city.",2020-06-01 18:27:24,14,117,364708
6,artinstitutechi,"""Art must be an integral part of the struggle. It can’t simply mirror what’s taking place. It must adapt itself to human needs. It must ally itself with the forces of liberation... I have no use for artists who try to divorce themselves from the struggle."" —Charles White https://t.co/5ZBBzId0LQ",2020-06-01 18:27:06,118,328,364708
7,artinstitutechi,"From celebratory statues to delicately refined jewelry, art was created for a wide variety of functions and contexts during the centuries that the Roman Empire reigned.

Explore a few highlights from the Art Institute’s collection of ancient Roman art: https://t.co/qDllJIc6xZ https://t.co/4vONxJNeMI",2020-05-30 18:35:19,22,72,364708
8,artinstitutechi,"Make art with the Art Institute!

Our collection has countless examples of street scenes. Artists have long found inspiration in what they see outside their windows.

If you find yourself gazing outside, we invite you to capture what you see in your own work of art. Reply below! https://t.co/8e65UjfmZF",2020-05-29 20:47:25,22,80,364708
9,artinstitutechi,"Blinky Palermo's approach to landscape painting serves as a reminder of how artists can shift the way we see the world.

https://t.co/s6A3jVlgmY",2020-05-28 19:16:13,2,7,364708
10,artinstitutechi,"As both a likeness and the interpretation of a person, a portrait often reveals something about the sitter and the artist.

Explore portraiture from across the centuries through the Art Institute’s collection.

PORTRAITS—https://t.co/8UdBce6U3c https://t.co/SS6GWRCDs1",2020-05-27 20:38:21,10,28,364708
11,artinstitutechi,"The primary task of the nail-studded nkisi was to hunt down evil and wrongdoers.

In this interactive feature, explore the rich history and enduring influence of these power figures from the Vili people of Central Africa.

Supported by @BloombergDotOrg 

https://t.co/46xt9AvDVp",2020-05-26 20:48:43,13,38,364708
12,artinstitutechi,"On this #MemorialDay, we remember all of those who have given their lives in service to our country.

[Image: Childe Hassam. View of The Art Institute, 1916.] https://t.co/RQ3sz1FeBE",2020-05-25 19:21:10,23,121,364708
13,artinstitutechi,"Travel to Maputo, Mozambique alongside conservator Julie Simek to visit the studio of painter, poet, and revered national hero Malangatana Ngwenya, a pioneer of modern African art.

https://t.co/kIGR29coVg",2020-05-24 19:59:25,9,13,364708
14,artinstitutechi,"The Surrealists were fascinated by dreams, desire, magic, sexuality, and the revolutionary power of artworks to transform how we understand the world.

Learn more through highlights in our internationally renowned collection of Surrealist art: https://t.co/WigDTvba31

[©ARS] https://t.co/2VHBzz2saE",2020-05-23 21:24:35,24,123,364708
15,artinstitutechi,"In an interactive feature, trace the history of this dramatic sculpture—from ancient Rome to a modern museum—and see how its significance changed for viewers over time.

Supported by @BloombergDotOrg 

https://t.co/67UhgpRMi1",2020-05-22 18:58:02,8,21,364708
16,artinstitutechi,"“Wonderful wonder of wonders!” exclaimed the New Yorker in April 1839.

Daguerreotypes were greeted with awe when they reached the shores of the United States, allowing many families to possess images of their loved ones for the first time.

https://t.co/QMpxIIZ4O7",2020-05-21 19:00:00,9,27,364708
17,artinstitutechi,"Unpack the symbolism on this remarkable monument from the Aztec empire—the latest in our Art Institute Essentials series.

ESSENTIALS—https://t.co/cFpnJHjtZV

https://t.co/EwGrdpo059",2020-05-20 21:07:22,13,25,364708
18,artinstitutechi,"While working from home, our very creative staff has reimagined some of the works in our galleries.

Got a recreation of your own to share? We want to see it! Reply below with your own masterpiece.

[Top Left to Bottom Right: Gretel Garcia, Cybele Tom, Kim Muir, Katrina Rush] https://t.co/4W804VvoGi",2020-05-19 19:04:40,35,174,364708
19,artinstitutechi,"Happy #InternationalMuseumDay! Our galleries just aren't the same without you.

Visit us virtually to stay connected to our collection of art from around the world.

EXPLORE—https://t.co/TwLDzDU4kd https://t.co/fdyv7QV1EX",2020-05-18 20:03:34,26,114,364708
20,artinstitutechi,"""As we have learned from times before us, we can expect a flourishing artistic response, even in the difficulties we face today.""

For Teen Council intern Zimra Chickering, a connection to the history of art provides hope and strength for the future.

https://t.co/wfnzRqxYSs",2020-05-17 20:58:06,11,24,364708
21,artinstitutechi,"Conservation scientist Francesca Casadio discusses the efforts being made to ensure that museums remain “havens to collectively heal, understand our place in history, and learn to share public spaces again.""

[via @artnews​]

https://t.co/Aq5seduZIT",2020-05-16 21:01:10,11,48,364708
22,artinstitutechi,"Made in 18th-century Paris, this clock represents the height of domestic luxury and the most advanced technology of its day.

In an interactive feature, see (and hear) why this elaborate clock still stands the test of time.

Supported by @BloombergDotOrg

https://t.co/sxx6CqC7NP",2020-05-15 22:12:58,14,34,364708
23,artinstitutechi,"Caillebotte’s street and Seurat’s park canvases are among the museum’s destination pieces.

Explore the origins of these two showstoppers—from the specific sites that inspired them to their final full-dress performances before hushed audiences.

https://t.co/R2hBR5o8C8",2020-05-14 19:30:01,19,122,364708
24,artinstitutechi,"Take a closer look at Hopper’s classic American painting and consider how some of its unsettling elements—clashing colors, lack of depth, and no diner door!—are key to its abiding appeal. 

See more of Art Institute Essentials: https://t.co/cNjfbrcbXJ

https://t.co/FMdGay0t1u",2020-05-13 16:18:29,18,32,364708
25,artinstitutechi,"Joseph Cornell’s signature “boxes” function as poetic dioramas and intimate theaters—each one a small world unto itself.

Explore Cornell’s alchemy for yourself with a look into one of the world’s largest public collections of his work.

https://t.co/7YzzYCfpbH",2020-05-12 17:10:59,13,34,364708
26,artinstitutechi,"Salvador Dalí was born #OnThisDay in 1904. This playful depiction of the Art Institute is one of a suite of four works on paper from 1971 in which Dalí captures the spirit of Chicago in landmarks around the city.

[©ARS] https://t.co/kVR4U9vBRX",2020-05-11 20:21:44,37,176,364708
27,artinstitutechi,"Happy Mother’s Day! Celebrate the moms in your life with works depicting motherhood from across the museum's collection.

EXPLORE—https://t.co/4y8RCTvzCj https://t.co/tIp3CZlJl6",2020-05-10 19:17:40,28,133,364708
28,artinstitutechi,"Test your knowledge of the Art Institute's collection and beyond with an art-inspired crossword puzzle!

PUZZLE—https://t.co/vKpA3CQ1N7 https://t.co/VP5a0BtNOJ",2020-05-09 20:28:31,16,30,364708
29,artinstitutechi,"Now more than ever, movies are a welcome distraction. Art Institute staff is pleased to share some of their personal picks—films that feature the artists and art we love.

So grab some popcorn, turn down the lights, and don’t forget to silence your phone.

https://t.co/tP3WFVtfvS",2020-05-08 19:46:08,7,32,364708
30,artinstitutechi,"Today the Buddha's birthday, or Buddha Purnima, is celebrated as Vesak in many parts of South and Southeast Asia and around the world.

These works of art from across Asia attest to the enduring power of the Buddha's teachings over the centuries. https://t.co/QSABEQdVfk",2020-05-07 17:51:17,23,64,364708
