,Username,Tweet,Date,Number of Retweets,Number of Likes,Number of Followers
0,metmuseum,"#AllByYourShelf Pick of the Day: ""The Tale of Genji: A Japanese Classic Illuminated"" 📖✨ 

Learn about the influence, transmission, and lasting cultural impact of the world's first novel from art historians and Genji scholars alike.

Read it: https://t.co/chCqioeRW8
#MetPubs https://t.co/uyhmZ49mD0",2020-06-25 22:52:02,39,145,4341580
1,metmuseum,"This Saturday, June 27, watch the #MetLiveArts digital premiere of ""The Ninth Hour: The Beowulf Story."" 🎶 

Staged at the #MetCloisters last year, this rock-noir reimagining of the famous epic explores humankind's relationship with power and violence.
https://t.co/wQobKJV9gd",2020-06-25 20:19:01,15,37,4341580
2,metmuseum,"Stay safe (and inspired) with our new reusable, machine-washable face masks featuring details from works in the #MetCollection. 😷

Start browsing ➡️ https://t.co/bHt3FkLh8X https://t.co/CDhdZhwXTS",2020-06-25 19:41:02,34,225,4341580
3,metmuseum,"Happening now! 📚 🦒 Tune in every Thursday at 12 pm for Storytime with The Met.

Today we're reading “Giraffes Can’t Dance” and talking about Degas' “The Little Fourteen-Year-Old Dancer.”

Watch on Facebook ⬇️
https://t.co/5UWFOx3SJY

Watch on YouTube ⬇️
https://t.co/9yBEB6DXfN https://t.co/DF6O0S6kuo",2020-06-25 15:59:02,6,35,4341580
4,metmuseum,"#AllByYourShelf Pick of the Day: ""Kerry James Marshall: A Creative Convening""

Read about the symposium held at #TheMet in 2017 that explored questions of creativity, labor, and social justice in Marshall's work.

Read it: https://t.co/jmy4SFOtOe
#MetPubs

© Kerry James Marshall https://t.co/Ne6kKkSDBc",2020-06-24 22:40:02,28,118,4341580
5,metmuseum,"""...these characters represent us perfectly, and yet make us uneasy because they resemble us and yet they're not. Why are they here? They're only unfamiliar because we haven't allowed these conversations to happen.""
— #WangechiMutu

Read more from Mutu: https://t.co/SRUmEdWhmq https://t.co/ylg5maJtX7",2020-06-24 19:50:07,27,131,4341580
6,metmuseum,"Engage with the works of Faith Ringgold and Wendy Red Star and reflect on freedom, justice, and identity with this blog post and art-making activity from #MetKids. 

https://t.co/HZagrvB7Q4",2020-06-24 14:28:01,17,50,4341580
7,metmuseum,"Happening now! Filmmaker Corinna Belz and Met curator Brinda Kumar explore the documentary ""Gerhard Richter Painting."" #MetRichter

Watch on Facebook ⬇️
https://t.co/EuFc8spJF0

Watch on YouTube ⬇️
https://t.co/wpaAtHQOrL

Watch the film through July 31 ⬇️
https://t.co/iGsBBLlB5M https://t.co/NGQGUdn4Pv",2020-06-23 21:59:02,9,38,4341580
8,metmuseum,"This #MuseumTeaTime is flying in hot! 🍵

With this brightly colored tea bowl, Eiraku Hozen—a prominent ceramist during the late #Edo period—revived the style of Nonomura Ninsei, the most well-known potter of late 17th-century Kyoto.

Learn more: https://t.co/YzbdcCtSfv https://t.co/eq9bZPqc6D",2020-06-23 20:00:22,63,228,4341580
9,metmuseum,"#AllByYourShelf Pick of the Day: ""Following the Stars: Images of the Zodiac in Islamic Art"" 📚✨ 

What we call astrology has guided Islamic art for centuries! Explore how medieval Islamic astronomers studied planets and stars.

Read it: https://t.co/I8ujfTflRq
#MetPubs https://t.co/XwNsDpqDLZ",2020-06-23 15:16:03,31,90,4341580
