,Username,Tweet,Date,Number of Retweets,Number of Likes,Number of Followers
0,ngadc,"“This painting is a loud and powerful voice at a national museum...While we’re closed, though, the painting is silent. (The sad irony that sickness silenced this painting is definitely not lost on me.) 

I want to give this painting its voice again.” https://t.co/1UYnXy5hFI",2020-06-25 18:37:03,3,20,259438
1,ngadc,"“Native people are often left without a voice. Native people must decide to take up space—to use our voices in the most powerful way we can think of. And when we do, we represent more than 500 tribes. It’s a ridiculous responsibility.” https://t.co/WHZdKyrA2l",2020-06-25 18:35:38,4,18,259438
2,ngadc,"“And then you notice all the pieces, the scraps of newspaper, the comic book. It’s clear—the topic is racism. But the painting is full of discoveries for you to make—the artist is inviting a conversation.” https://t.co/KPZ5oTIKjN",2020-06-25 18:33:51,1,12,259438
3,ngadc,"“Reaching up to the ceiling, the scale and the intense redness of the painting immediately catches your attention. In the top section is a clear, unobstructed pennant for the Washington, DC, football team. It’s like a punch, but it draws you in.” https://t.co/EZoGJFy2qU",2020-06-25 18:33:50,1,4,259438
4,ngadc,"Shana Condill (@scondill), a citizen of the Eastern Band of Cherokee Indians, wrote about what the painting means to her: https://t.co/4PHx7EBznW https://t.co/UHxbnTbMMq",2020-06-25 18:33:50,2,5,259438
5,ngadc,"The Gallery recently acquired our first painting by a Native artist—“I See Red: Target” (1992) by Jaune Quick-to-See Smith, an enrolled Salish member of the Confederated Salish and Kootenai Nation in Montana. https://t.co/GRnbm0gJLa",2020-06-25 18:33:48,21,83,259438
6,ngadc,Photos of Kimberly Drew and Alicia Hall Moran by @photodre. Photo of Imani Uzuri by Petra Richterova.,2020-06-24 21:22:03,1,6,259438
7,ngadc,"The program coincides with the publication of @museummammy’s new book “This Is What I Know About Art.” 

Read more about the book in this interview with Drew and @jeffmasters1 in @TheAdvocateMag:
https://t.co/NBbqjT4mln",2020-06-24 21:22:03,11,22,259438
8,ngadc,"Their conversation expands upon this @officemagnyc interview conducted by @museummammy about the possibilities of opera as the architecture for Black cultural production.
https://t.co/CGonndeqMO",2020-06-24 21:22:03,1,8,259438
9,ngadc,"📅 Mark your calendars! June 30 at 7:00 pm we will premiere a conversation between @museummammy, @aliciahallmoran, and @ImaniUzuri on opera's influence on contemporary artists’ practices, in conjunction with #DegasOpera: https://t.co/BugIV05Rwk https://t.co/rLfYGpiGpQ",2020-06-24 21:22:02,18,45,259438
10,ngadc,"Elizabeth Catlett, “I am the Negro Woman,” 1947, Pennsylvania Academy of Fine Arts (@PAFAcademy), Art © Catlett Mora Family Trust/Licensed by VAGA, New York, NY",2020-06-24 17:41:20,0,12,259438
11,ngadc,"""A powerful visual statement on the historic and contemporary condition of Black womanhood in the United States, The Negro Woman series pays tribute to well-known Black heroines.""

Sherri Williams, manager of community programs, wrote about the series: https://t.co/M4Ivc9EPdA https://t.co/GSwykaY0hz",2020-06-24 17:41:20,20,38,259438
12,ngadc,"Join us this week for a (virtual) ""Artful Conversations"" program. Recommended for children ages 7–12 (and their adult companions) we’ll spend an hour exploring Margaret Burroughs's “Still Life” (1943).

Register: https://t.co/DSACopt1LV https://t.co/54Ani3rPMe",2020-06-23 17:38:21,7,29,259438
13,ngadc,"Gordon Parks, “Evening Prayer, Muslim Father and Son, New York,” 1963, gelatin silver print, Corcoran Collection (The Gordon Parks Collection), National Gallery of Art, Washington, courtesy of and © @GParksFound",2020-06-21 16:40:33,1,13,259438
14,ngadc,"Parks continued, ""I want my children and their children to keep this faith flowing through their veins. But in all honesty I cannot ask of them love for a country incapable of returning their love.” https://t.co/xQrwLAxatw",2020-06-21 16:40:33,2,15,259438
15,ngadc,"In an essay he wrote to accompany his photographs, Gordon Parks said, “I have had faith in America for as long as I can remember. But I have also been angry—even bitter. It is now time for America to justify this belief I have in her, to show me I have not believed in vain.” https://t.co/5WvIdfP7X5",2020-06-21 16:40:32,2,12,259438
16,ngadc,"In 1963, Gordon Parks documented Black Muslim communities in New York, Chicago, and Los Angeles for Life magazine and spent time capturing the everyday life of families at home.

In this photograph, Jacob X prays with his son in the bedroom of their Brooklyn home. https://t.co/KhwvqSSsbT",2020-06-21 16:40:31,25,76,259438
