,Username,Tweet,Date,Number of Retweets,Number of Likes,Number of Followers
0,WomenInTheArts,#ReniEddoLodge (@renireni): 'The debate on racism is a game to some and I don't want to play'—Eddo-Lodge discusses why becoming the first Black author to top British book charts has been bittersweet. https://t.co/TUrV5YW6Td @guardian https://t.co/vHuws7Dbad,2020-06-26 00:00:19,5,6,57593
1,WomenInTheArts,"Our #PrideMonth highlights continue with @MuholiZanele! 🌈 #ZaneleMuholi is an artist and activist who documents #LGBTQ lives in South Africa through photography, video, and installation works that capture the humanity of their subjects. https://t.co/HrjMjHjWfH https://t.co/xhx1onYBjJ",2020-06-25 18:00:20,1,11,57593
2,WomenInTheArts,"TODAY at 2 p.m. (EDT): Join @NYTimesLearning and NMWA educator Addie Gayoso for a discussion about ""What's Going On in This Picture?,"" an engaging activity that develops critical thinking and observation skills.

Register now ➞ https://t.co/WbXub6VTXG https://t.co/huUK1LxIn9",2020-06-25 12:00:20,2,6,57593
3,WomenInTheArts,Late Cherokee artist #ShanGoshorn to be featured at @GilcreaseMuseum—“Weaving History Into Art: The Enduring Legacy of Shan Goshorn” will feature Goshorn's unique and thought-provoking basketry designs. https://t.co/osy2e0fc7P @cherokeeonefea1 https://t.co/vsQ0WFYWum,2020-06-25 00:00:08,7,20,57593
4,WomenInTheArts,"Join @NYTimesLearning and NMWA educator Addie Gayoso tomorrow at 2 p.m. (EDT) for a discussion about ""What's Going On in This Picture?,"" an engaging activity that develops critical thinking and observation skills.

Register now ➞ https://t.co/WbXub6VTXG https://t.co/HbZAowNEYP",2020-06-24 18:00:19,1,4,57593
5,WomenInTheArts,Yippee! 🚀 Check it out now ➞ https://t.co/A9gaJHgD5Q https://t.co/CQrauFeyaP,2020-06-24 17:31:38,1,10,57593
6,WomenInTheArts,.@TRAPBOB on her artistic practice in the time of COVID-19 and the Black Lives Matter movement https://t.co/BdwR21K2qQ https://t.co/2zNeHRZ0hD,2020-06-24 12:00:18,9,29,57593
7,WomenInTheArts,"Our #PrideMonth highlights continue with #HannahHöch! 🌈 Höch co-founded Berlin Dada, an international avant-garde movement reacting to the horrors of World War I that rejected traditional art forms. She also co-""invented"" photomontage. https://t.co/BYTjg3ceTC https://t.co/k6KMK9vJCr",2020-06-23 18:00:18,13,41,57593
8,WomenInTheArts,Discover new women artists like @JuliaKeil1 through @AestheticaMag! Keil's self-portraits reference recognizable films and works of fine art to express familiar emotions and experiences from lockdown. Subscribe through June for 50% off with CODE: NMWA12 https://t.co/jJIxjUXO0N https://t.co/5ti96G6Li2,2020-06-23 00:00:07,5,16,57593
9,WomenInTheArts,"14 Artists on the Importance of Portraying Queer Love—14 LGBTQ+ artists discuss the importance of creating expressions of LGBTQ+ love, their inspirations, and the impressions they hope to leave upon viewers. https://t.co/wKcHNfkF5D @artsy https://t.co/0RGxQS9H6h",2020-06-22 18:00:22,11,27,57593
10,WomenInTheArts,"The new https://t.co/VWKxgDr8Nf is now LIVE! 🎉 Check out our boldly redesigned website packed with information about women artists, artworks, and advocacy.  ✨  Explore now ➞ https://t.co/d0R3UJo1We https://t.co/pd3qfdXobV",2020-06-22 12:00:36,19,48,57593
11,WomenInTheArts,‘History Doesn’t Move in a Straight Line’: Photographer #AnMyLê on How Pictures Can Help Us Keep Up With a Rapidly Changing World https://t.co/Taw2fZEMiA @artnet https://t.co/h60zwoERBQ,2020-06-21 21:00:08,5,13,57593
12,WomenInTheArts,"Happy #FathersDay from ""The Family of the Earl Gower"" (1772) to your family! 💕  https://t.co/WoTNFrrG6n

🖼: #AngelicaKauffman, ""The Family of the Earl Gower,"" 1772 https://t.co/k2nHX4MNFO",2020-06-21 13:00:22,3,23,57593
13,WomenInTheArts,"Happy birthday, #MagdalenaAbakanowicz! 🎉 A pioneer of fiber-based sculpture and installation in the 1960s, Abakanowicz is best known for creating headless and fragmented human forms influenced by her experience in Poland under Nazi and Soviet occupation. https://t.co/Mxpvx0DAyf https://t.co/6SUXYZNvJ0",2020-06-21 00:00:09,12,49,57593
14,WomenInTheArts,"Today, starting at 4 p.m.—support local artists and join the National Arts Drive! 🚗 Roll and stroll through participating neighborhoods to see, hear, and support local artists. https://t.co/Jl6Ogy9q3P @RAW_artists https://t.co/rSTGF0vRyE",2020-06-20 18:00:24,2,6,57593
15,WomenInTheArts,"Today is #WorldRefugeeDay, which commemorates the strength, courage, and perseverance of millions of refugees.

Learn more about the art of Iraqi American #HayvKahraman, who is often inspired by her experience as a refugee. https://t.co/Bb4lmFsyyn @NPR https://t.co/CKWuHKaMIY",2020-06-20 12:00:20,12,27,57593
16,WomenInTheArts,"Queer Art Workers Reflect: #CheryRRiley Thinks Queer Artists “Should Not be Ghettoized”—Every day during #PrideMonth, @hyperallergic features one queer art worker and asking them to reflect on what this moment means to them. https://t.co/LxWdyprNxP https://t.co/88miLe4FF2",2020-06-20 00:00:11,6,20,57593
17,WomenInTheArts,"In this week's #ArtFixFriday: @HarvardMagazine features playwright @KatoriHall, @TandCmag features the revolutionary “philactivist” and founder of @Art4JusticeFund #AgnesGund, @Hyperallergic interviews performance and visual artist #KiaLaBeija—and more! https://t.co/ckSkdjyuTR https://t.co/3sq1wjNVwC",2020-06-19 18:00:17,2,11,57593
