,Username,Tweet,Date,Number of Retweets,Number of Likes,Number of Followers
0,oaklandmuseumca,"""The movement is what we’re most concerned with. But the artwork is obviously a result of the protests, and the protests are a result of the historical injustices.”
- Randolph Belle, spokesperson for the Black Cultural Zone.  

https://t.co/4XKMRTX9Dv https://t.co/9UBXqYNsuH",2020-06-25 20:50:43,0,3,42768
1,oaklandmuseumca,"@EvanWebeck @LibbySchaaf Yes, an effort to preserve, document, and archive many of the works created is underway, led by the Black Cultural Zone. Artists, tenants, landlords, or building owners should contact info@blackculturalzone.org for more details. If we can assist, contact feedback@museumca.org.",2020-06-24 17:01:17,2,8,42768
2,oaklandmuseumca,"We miss seeing you in our galleries, so we're bringing our galleries to you! Explore the history of the Black Power movements in California in an online version of our exhibition Black Power. #blacklivesmatter https://t.co/tXlyPloarz https://t.co/HPHf6sftRI",2020-06-24 02:45:00,18,46,42768
3,oaklandmuseumca,"If artists, tenants, landlords, or building owners have questions or information about the artwork, please contact info@blackculturalzone.org. If we can assist, please contact feedback@museumca.org. We look forward to sharing more information as these efforts progress.",2020-06-21 03:19:56,0,10,42768
4,oaklandmuseumca,"At the right time, we hope to be one of many groups that are committed to presenting and archiving the artwork and documenting the stories, in collaboration with the artists.",2020-06-21 03:19:56,0,6,42768
5,oaklandmuseumca,"At this stage, the organizations and groups of artists are coordinating logistics to ensure that the artwork is safely cared for and stored, when it comes down, and that artists are contacted for their involvement and permission.",2020-06-21 03:19:56,0,8,42768
6,oaklandmuseumca,We also know that there have been some questions about our role. We have offered assistance to efforts led by the Black Cultural Zone and other organizations in whatever way is useful.,2020-06-21 03:19:56,0,8,42768
7,oaklandmuseumca,"Dear Neighbors: Thanks to so many of you who have reached out to encourage the Museum’s involvement in preserving, documenting, and archiving the artwork in Oakland made as part of protests and as an expression of the Movement for Black Lives.",2020-06-21 03:19:55,12,72,42768
8,oaklandmuseumca,"Looking for a comprehensive list of Bay Area Black owned businesses? Sign up for the BAOBOB directory at the link below. 👇

https://t.co/Ir0GbFG2Bx",2020-06-20 14:25:00,0,2,42768
9,oaklandmuseumca,"This week's Virtual Friday Nights at OMCA is a special edition commemoration of Juneteenth. We'll be back with a more consistent offering in July, so stay tuned.",2020-06-19 16:58:52,0,0,42768
10,oaklandmuseumca,"Featuring: DJ Nina Sol, Amir Abdul-Shakur, Johwell St-Cilien, Fresh “Lev” White, Samara Atkins, Shane Evans, and Kev Choice.",2020-06-19 16:58:52,0,0,42768
11,oaklandmuseumca,"In commemoration of Juneteenth 2020, we bring together a cross section of Oakland artists, educators, and activists to honor efforts made in the ongoing struggle for the liberation of Black people everywhere.",2020-06-19 16:58:51,0,0,42768
12,oaklandmuseumca,"Virtual Friday Nights at OMCA: 2020 Juneteenth Program
Airing on OMCA’s YouTube Channel: https://t.co/sSFuLODQU5 
Friday, June 19, 2020 
5-7pm PDT https://t.co/KQHFODwnab",2020-06-19 16:58:51,2,1,42768
13,oaklandmuseumca,See Lori's wish and add your own at https://t.co/E6CDGTelyx,2020-06-18 23:47:53,0,1,42768
14,oaklandmuseumca,"My Wish For U.S. by @historymadebyus invites you to share your voice in shaping our nation’s future. Our Director &amp; CEO Lori Fogarty shared her wish: For communities to find new ways to connect, and for leadership to be defined by empathy, kindness, humility and humanity. https://t.co/josf5DUSHj",2020-06-18 23:47:53,0,2,42768
15,oaklandmuseumca,Watch at https://t.co/sSFuLODQU5,2020-06-18 22:34:42,1,2,42768
