,Username,Tweet,Date,Number of Retweets,Number of Likes,Number of Followers
0,philamuseum,David Lebe came out as a gay man in the 1970s and was among the first generation of queer artists who frankly explored homosexuality in their work. Explore this and other themes of Lebe’s here: https://t.co/XNA19fMzkU #PrideMonth https://t.co/NSTw6GDJgk,2020-06-23 21:35:03,5,19,267747
1,philamuseum,"Aaron Douglas began painting in this Modern style shortly after moving to NY in 1925. There, he became one of the principal artists associated with the Harlem Renaissance, a movement that helped bring attention and respect to African American culture. https://t.co/MtOng8ieO0 https://t.co/ZTnLOE995d",2020-06-23 14:04:19,15,43,267747
2,philamuseum,"Charles White decided to become an artist after his mother bought him a painting kit at the age of 7. His artistic break came when he was awarded a scholarship to the Art Institute of Chicago, where he learned printmaking as well as drawing and painting. https://t.co/3Oc0nsbBZV https://t.co/BBzuV7vvIi",2020-06-22 13:30:54,11,53,267747
3,philamuseum,"Born #onthisday in 1859, Henry Ossawa Tanner was raised in Philadelphia and trained by Thomas Eakins at @PAFAcademy. Like Eakins, Tanner absorbed an academic tradition that prized important figural subjects, fine drawing, and careful study from life. https://t.co/2ndZOV725K https://t.co/WVIU1wrFfQ",2020-06-21 19:30:13,23,60,267747
4,philamuseum,Wishing all the dads out there a very Happy Father’s Day. https://t.co/hgA7JutL8d https://t.co/J6b8x5MkLw,2020-06-21 15:30:23,8,31,267747
5,philamuseum,"In 1916, James VanDerZee opened the Guarantee Photo Studio in Harlem, and it went on to become the “go-to” portrait studio for many Harlem residents. VanDerZee’s pictures both in out and his studio captured the stories of the changing neighborhood. https://t.co/zbzfeqhEni https://t.co/2yJdewi6aZ",2020-06-20 19:30:09,10,27,267747
6,philamuseum,"The sun is out (for now), and summer is officially here. Happy first day of summer! https://t.co/eqRceznAVy https://t.co/xUk6L9cPsc",2020-06-20 13:50:03,22,50,267747
7,philamuseum,"In honor of #Juneteenth, the oldest nationally celebrated commemoration of the end of slavery in the US, we are proud to join landmarks across the city in lighting the museum red, green, &amp; black tonight. This effort is being coordinated by Philadelphia Juneteenth Family &amp; ACANA. https://t.co/bvxDW28B2f",2020-06-19 20:25:06,5,31,267747
8,philamuseum,We encourage you to visit this video from our 2019 program that featured Valentine and art historian Adrienne Childs offering their perspectives on historical representations of Black people in the context of slavery. https://t.co/JmX0oKtP7O 3/3,2020-06-19 17:56:21,2,2,267747
9,philamuseum,"Valentine's life and work was dedicated to forgotten and neglected African and African American Histories. As we witness the wakes of slavery that remain today, may we find inspiration in the stories and wisdom of Denise Valentine. Learn more: https://t.co/MzVq22HClc 2/3",2020-06-19 17:56:21,0,6,267747
10,philamuseum,"In celebration of #Juneteenth and commemoration of the end of slavery in the United States, we want to honor the legacy of master storyteller, activist, and mother, Denise Valentine, known to many as Story Mama, who transitioned in March of this year. 1/3 https://t.co/BMWyi421cG",2020-06-19 17:56:20,4,6,267747
11,philamuseum,"Thornton Dial describes himself as “a man looking for something,” but he has long revealed societal and social truths to others. Dial’s art highlights issues surrounding race relations, gender, religion, international politics, and regional histories. https://t.co/QeiF1D1JCF https://t.co/QDckOdDyJl",2020-06-18 17:24:25,5,24,267747
12,philamuseum,"William H. Johnson was one of the most inventive artists of his generation. He is best known for his later style, which focuses almost exclusively on African American subjects &amp; is characterized by flat shapes &amp; solid planes of color. https://t.co/0U8veEiFds https://t.co/x4B6rUs3wm",2020-06-17 18:40:54,14,35,267747
13,philamuseum,Their relative isolation allowed them to preserve their unique blend of African and Creole culture and language over generations. Moutoussamy-Ashe’s loving photographs document life on Daufuskie before a wave of development on the island in the 1980s. https://t.co/Wa3ptjXPKF 2/2,2020-06-16 17:21:37,6,12,267747
14,philamuseum,"Jeanne Moutoussamy-Ashe made multiple visits to Daufuskie Island,  just off of South Carolina, to photograph the Gullah people who are direct descendants of enslaved Africans. After emancipation, many of the Gullah purchased the lands on which they were formerly enslaved. 1/2 https://t.co/4dyyZTVHfv",2020-06-16 17:21:37,26,60,267747
15,philamuseum,"The large size &amp; expressive form of this storage jar are testaments to the craftsmanship of its maker, David Drake, who was one of the thousands of enslaved Black artists &amp; artisans in the US. He expressed his creativity through poetry as well as pottery. https://t.co/1K3HJpor9y https://t.co/WAGUytA2le",2020-06-15 18:44:09,4,20,267747
16,philamuseum,"When Jacob Lawrence made this work in 1963, marriage between people of different races was illegal in many states. By portraying 2 interracial couples in wedding attire &amp; labeling the scene ""Taboo,"" he draws attention to the cultural bias &amp; legal inequity. https://t.co/4tMaAYKpWx https://t.co/zfAq9u7GXp",2020-06-14 16:40:03,18,51,267747
17,philamuseum,"Sarah Mary Taylor was taught to piece quilts as a child by her mother Pearlie Posey.  In 1979 her search for “something different” led to boldly colored quilts appliquéd with forms inspired by images found in magazines, catalogues, and newspapers. https://t.co/jcpxLQ5ghf https://t.co/2gXzsHKhpQ",2020-06-13 17:13:46,14,27,267747
