,Username,Tweet,Date,Number of Retweets,Number of Likes,Number of Followers
0,smithsonian,@JamesDingell @katiesterling3 The resemblance is striking. Do you have to supply 40-80 pounds of bamboo daily?,2020-06-25 23:06:40,0,1,2633475
1,smithsonian,@jmorelanderson Thank you for this feedback. We're sharing it with the team at @SmithsonianChan.,2020-06-25 23:03:59,0,0,2633475
2,smithsonian,"Ethel Waters, a blues singer and actress, was the second African American to be nominated for an Academy Award. She was also the first African American to star in her own TV show. https://t.co/Y5LzBGvrPT #BecauseOfHerStory #Pride #SmithsonianPride",2020-06-25 20:31:17,46,115,2633475
3,smithsonian,@hectorjcorrea Thank you for this feedback. We've shared it with the relevant team.,2020-06-24 22:20:38,0,0,2633475
4,smithsonian,"Emma Stebbins, born in 1815, was the first woman awarded a public art commission in New York City. Our @SILibraries shares the story of her decades-long romantic relationship with actress Charlotte Cushman: https://t.co/V34eQNMYL3 #BecauseOfHerStory #Pride #SmithsonianPride https://t.co/a8pgAK5WRE",2020-06-23 19:07:28,22,81,2633475
5,smithsonian,"Help share the unsung achievements of American women in science, like Sophie Lutterlough, who broke racial and gender boundaries to research insects at our @NMNH.

On June 25, join us online for Wikipedia editing and training: https://t.co/OcTwM8NFsJ #BecauseOfHerStory https://t.co/fu6bERbGE5",2020-06-22 19:50:29,71,120,2633475
6,smithsonian,@sephm83 Thank you so much for your support! We really appreciate it.,2020-06-22 15:30:40,0,0,2633475
7,smithsonian,@IibraryIady Thank you! Our @SmithsonianChan will be happy to hear this. ✈️,2020-06-20 10:37:33,0,2,2633475
8,smithsonian,"@LauraTheRose Hi, thanks for your comments. We will flag them for the team.",2020-06-19 16:02:11,0,2,2633475
9,smithsonian,"@NMAAHC This year, our @NMAAHC is hosting ""Juneteenth: A Celebration Of Resilience"" online with presentations, stories, photographs and recipes: https://t.co/UhM6pT5I8l",2020-06-19 13:40:16,68,127,2633475
10,smithsonian,"@NMAAHC It took two years before Union troops arrived in Galveston Bay on June 19, 1865. They announced that the more than 250,000 enslaved African Americans in the state were free by executive decree. 📸: 1900 Juneteenth celebration in Texas, Austin History Center https://t.co/PoVHtUC4sF",2020-06-19 13:19:29,131,293,2633475
11,smithsonian,"The Emancipation Proclamation took effect in 1863, but it only freed enslaved people in rebelling states and could not be implemented in places under Confederate control. This booklet in our @NMAAHC was for Union soldiers to read and spread news of freedom to African Americans. https://t.co/HfPE8EFzSW",2020-06-19 12:59:56,130,251,2633475
12,smithsonian,"#Juneteenth marks the day enslaved African Americans in Galveston Bay, Texas, were notified of their freedom. It's celebrated as the end of U.S. chattel slavery and our nation's second independence day. #APeoplesJourney https://t.co/zOzD1R7CG4",2020-06-19 12:42:11,1137,1811,2633475
13,smithsonian,"This photo by Diana J. Davies is from @SmithsonianFolk’s Ralph Rinzler Folklife Archives and Collections.

Our @SmithsonianSec has been reflecting on Baker’s leadership as an organizer, and the time and work that goes into change: https://t.co/8SbshaNlA3",2020-06-17 16:31:12,8,30,2633475
