,Username,Tweet,Date,Number of Retweets,Number of Likes,Number of Followers
124,TheBroad,"We’re livestreaming #YayoiKusama’s Infinity Mirrored Room on IG at 11 a.m. on Monday, March 16. Experience a #MuseumMomentofZen and see what it’s like to be in this installation for longer than 45 seconds. Enjoy our art even when you're not here 😌 #TheBroadFromHome https://t.co/zFl1KfF2Cd",2020-03-14 16:10:09,253,611,36392
103,TheBroad,"We've donated 158 boxes of nitrile gloves, 90 N95 masks &amp; 200 prs of booties to #GoodSamaritanHospital in #DTLA to fight the spread of COVID-19. Normally, these help us safely install art; today we offer them to help protect healthcare workers. @museumdirectors https://t.co/iMCEaq0xyd",2020-03-24 19:31:15,52,242,36392
101,TheBroad,Experience an immersive environment of light and sound in the spirit of Yayoi Kusama's Infinity Mirrored Room—The Souls of Millions of Light Years Away → https://t.co/cs1w31r4D0 #TheBroadFromHome https://t.co/MgKNwNVemh,2020-03-26 16:01:00,136,166,36392
102,TheBroad,"To: @LACMA, @MOCAlosangeles, @hammer_museum, @gettymuseum

We hope this bright splash of color, courtesy of @JeffKoons, brightens your day 💐 #MuseumBouquet

Love,
All the staff at The Broad https://t.co/elFZ0gzY36",2020-03-24 21:51:02,19,116,36392
106,TheBroad,"In 1966, Yayoi Kusama was 37 years old, and she arrived uninvited to the Venice Biennale, despite the fact that Japan had refused to let Kusama show her work. Today Kusama, born #OTD in 1929, turns 91 as one of the most recognized living artists in the world.

Pic: @bts_twt https://t.co/Dht0TSq3uB",2020-03-22 16:00:16,23,79,36392
47,WomenInTheArts,"Masks on, supplies out, staff ready. 💪 If you're at the D.C. protests today and need supplies, come to New York Ave and 13th St NW. NMWA staff volunteers will be distributing water, snacks, and more until supplies last. https://t.co/cnv4o8vVgA",2020-06-06 17:15:38,102,338,57593
48,WomenInTheArts,"📢 Today starting at 11 a.m., NMWA staff will be at the museum handing out water and snacks to protestors. The museum is located at 1250 New York Ave NW, Washington, D.C. 20005 and we will be distributing supplies at our 13th Street entrance until supplies last. [📷: NMWA Staff] https://t.co/TqOhs0lVa5",2020-06-06 13:15:02,77,194,57593
42,WomenInTheArts,We’re not done painting our plywood yet—check out local artist @Questskinner at work today at the museum! 🎨 https://t.co/yhvVquF2Hm,2020-06-07 15:22:45,24,144,57593
87,WomenInTheArts,"Happy birthday to #MaryCassatt! 🎈 Recognized as one of the foremost 19th-century American painters and printmakers, Cassatt is known for her prolific career and Impressionist artwork. https://t.co/AHm75ujaCD https://t.co/iObg4VOaHX",2020-05-22 12:00:26,18,71,57593
27,WomenInTheArts,"#FaithRinggold Will Keep Fighting Back—After the loss of her husband and a pandemic lockdown, this ardent activist was creatively blocked. Now, after watching the protests, she is inspired again. https://t.co/3dOgNcssQK @nytimes https://t.co/mLnighbeC2",2020-06-15 12:00:21,22,70,57593
69,metmuseum,"1/4 The Met stands in solidarity with the Black community. We see you, we are listening, we support you. We call for justice.

In ""Freedom of Speech,"" #FaithRinggold interprets the meaning of the U.S. Constitution's Bill of Rights as it applies to the civil rights of all. https://t.co/naZrISphCD",2020-05-31 20:46:37,260,809,4341580
174,metmuseum,"Here comes the sun 🌞

A shamsa (sun or sunburst in Arabic) traditionally opened or closed imperial Mughal albums of artwork, called muraqqa, which often featured paintings, illuminated pages, and calligraphy. 

Learn more: https://t.co/EyPvnpO3CP https://t.co/KaQh9kpfub",2020-05-15 10:35:04,144,538,4341580
14,metmuseum,"To all the dads, uncles, grandfathers, and caregivers around the globe—Happy #FathersDay. 💕⁣ https://t.co/hVRpoDPVKQ",2020-06-21 14:20:04,123,486,4341580
23,metmuseum,"1/5 In honor of #Juneteenth, we’re taking a look at this photograph of activist Sojourner Truth. Born Isabella Baumfree to a family of enslaved persons in Swartekill, New York, Truth sits for one of the Civil War’s most iconic portraits in an anonymous photographer’s studio.⁣ https://t.co/ZXBGE3PnIs",2020-06-19 18:20:21,141,460,4341580
110,metmuseum,"What makes ""The Great Wave"" so vibrant and rich? 

Dive in as Met scientists share the techniques that went into creating this iconic Japanese work. 🌊
https://t.co/3zAyyYZOZG",2020-05-24 20:10:01,148,451,4341580
72,ClevelandArt,Brightening your timeline one #MuseumBouquet at a time! Sending these to our friends at @hirshhorn. 💐 https://t.co/MxCherINx5 https://t.co/dSVoSRf8mO,2020-03-24 15:01:02,512,2729,52814
51,ClevelandArt,"Cheers to @metmuseum on their 150th anniversary! It's 5 o'clock somewhere (and really, who knows what time it is anymore.) Can't wait until you reopen! 🥂

Image: https://t.co/DNZxtMhJud https://t.co/cM1WVlMS7y",2020-04-13 18:03:14,23,107,52814
11,ClevelandArt,"The CMA looks forward to welcoming visitors back on June 30 with new safety measures and free, reservation-only timed tickets to ensure reduced capacity and promote social distancing. https://t.co/XTN1WX17Kr",2020-06-05 17:54:22,34,75,52814
76,ClevelandArt,"Today's #MuseumMomentofZen is ""The Red Kerchief"" by Claude Monet. This painting depicts Monet's first wife, Camille, outside on a snowy day passing by the French doors of their home at Argenteuil. Monet kept it with him for his entire life. https://t.co/MHCyBqRGA7 #MuseumFromHome https://t.co/9EN8IybgFG",2020-03-21 14:00:22,13,63,52814
80,ClevelandArt,"Today's #MuseumMomentofZen is ""Mount Starr King, Yosemite"" by painter Albert Bierstadt. Have a favorite nature or landscape photo, drawing, or artwork? Share it in the replies below! https://t.co/AJl7cAT3Bk #MuseumFromHome 🏡 https://t.co/8OJP907s16",2020-03-18 14:06:58,27,62,52814
135,mfaboston,"The MFA might be closed, but we’re still bringing art into Boston children’s lives 🎨✏️ Over the weekend, we made the first of our donations of art supplies to our neighbor @bgcboston's Yawkey Club and to @bcyfcenters for distribution at @BostonSchools meal pickup sites. (1/3) https://t.co/UE8I17xwuE",2020-04-27 20:29:05,44,224,403004
92,mfaboston,"A reviewer of our 1927 #Monet exhibition wrote, “...He has taught the crowd to see better and more truly. He taught the world to see, but taught it only with his pictures.”  What does the artist mean to you?

🎨: ""Poppy Field in a Hollow near Giverny"" (1885), Claude Monet https://t.co/8QtyerzErn",2020-05-07 13:23:37,51,181,403004
58,mfaboston,"#Monet’s scenes often resonate with Japanese woodblock prints, which he admired and collected. Can you spot the similarities and differences between these two works? 🧐

🎨: ""Seacoast at Trouville"" (1881), Claude Monet; ""Yokkaichi: Mie River"" (about 1833–34), Utagawa Hiroshige I https://t.co/zw2ZnqjSXd",2020-05-19 21:00:02,54,165,403004
